BI,BV,AI,AV   prendi BI e BV
-96.7070E-3,-2.2000E+0,9.1290E-3,000.0000E-3
-95.8085E-3,-2.1900E+0,9.0506E-3,000.0000E-3
-94.9099E-3,-2.1800E+0,8.9480E-3,000.0000E-3
-94.0098E-3,-2.1700E+0,8.8788E-3,000.0000E-3
-93.1032E-3,-2.1600E+0,8.8167E-3,000.0000E-3
-92.1829E-3,-2.1500E+0,8.7271E-3,000.0000E-3
-91.2708E-3,-2.1400E+0,8.6264E-3,000.0000E-3
-90.3831E-3,-2.1300E+0,8.5655E-3,000.0000E-3
-89.4739E-3,-2.1200E+0,8.4876E-3,000.0000E-3
-88.5572E-3,-2.1100E+0,8.4100E-3,000.0000E-3
-87.6359E-3,-2.1000E+0,8.3472E-3,000.0000E-3
-86.7237E-3,-2.0900E+0,8.2811E-3,000.0000E-3
-85.8049E-3,-2.0800E+0,8.1915E-3,000.0000E-3
-84.8893E-3,-2.0700E+0,8.1026E-3,000.0000E-3
-83.9742E-3,-2.0600E+0,8.0474E-3,000.0000E-3
-83.0627E-3,-2.0500E+0,7.9863E-3,000.0000E-3
-82.1884E-3,-2.0400E+0,7.8939E-3,000.0000E-3
-81.3352E-3,-2.0300E+0,7.8300E-3,000.0000E-3
-80.4235E-3,-2.0200E+0,7.7578E-3,000.0000E-3
-79.5084E-3,-2.0100E+0,7.6768E-3,000.0000E-3
-78.5922E-3,-2.0000E+0,7.5980E-3,000.0000E-3
-77.6725E-3,-1.9900E+0,7.5065E-3,000.0000E-3
-76.7571E-3,-1.9800E+0,7.4306E-3,000.0000E-3
-75.8422E-3,-1.9700E+0,7.3624E-3,000.0000E-3
-74.9240E-3,-1.9600E+0,7.2898E-3,000.0000E-3
-74.0097E-3,-1.9500E+0,7.2008E-3,000.0000E-3
-73.0947E-3,-1.9400E+0,7.1207E-3,000.0000E-3
-72.1809E-3,-1.9300E+0,7.0535E-3,000.0000E-3
-71.2634E-3,-1.9200E+0,6.9779E-3,000.0000E-3
-70.3473E-3,-1.9100E+0,6.8750E-3,000.0000E-3
-69.4355E-3,-1.9000E+0,6.8001E-3,000.0000E-3
-68.5295E-3,-1.8900E+0,6.7383E-3,000.0000E-3
-67.6224E-3,-1.8800E+0,6.6578E-3,000.0000E-3
-66.7115E-3,-1.8700E+0,6.5788E-3,000.0000E-3
-65.7995E-3,-1.8600E+0,6.4966E-3,000.0000E-3
-64.8903E-3,-1.8500E+0,6.4214E-3,000.0000E-3
-63.9847E-3,-1.8400E+0,6.3298E-3,000.0000E-3
-63.0813E-3,-1.8300E+0,6.2550E-3,000.0000E-3
-62.1795E-3,-1.8200E+0,6.1833E-3,000.0000E-3
-61.2740E-3,-1.8100E+0,6.0985E-3,000.0000E-3
-60.3749E-3,-1.8000E+0,6.0205E-3,000.0000E-3
-59.4764E-3,-1.7900E+0,5.9397E-3,000.0000E-3
-58.5813E-3,-1.7800E+0,5.8685E-3,000.0000E-3
-57.6852E-3,-1.7700E+0,5.7954E-3,000.0000E-3
-56.7919E-3,-1.7600E+0,5.7147E-3,000.0000E-3
-55.8991E-3,-1.7500E+0,5.6415E-3,000.0000E-3
-55.0139E-3,-1.7400E+0,5.5683E-3,000.0000E-3
-54.1243E-3,-1.7300E+0,5.4881E-3,000.0000E-3
-53.2389E-3,-1.7200E+0,5.4162E-3,000.0000E-3
-52.3520E-3,-1.7100E+0,5.3412E-3,000.0000E-3
-51.4977E-3,-1.7000E+0,5.2673E-3,000.0000E-3
-50.6142E-3,-1.6900E+0,5.1875E-3,000.0000E-3
-49.7320E-3,-1.6800E+0,5.1102E-3,000.0000E-3
-48.8535E-3,-1.6700E+0,5.0369E-3,000.0000E-3
-47.9763E-3,-1.6600E+0,4.9546E-3,000.0000E-3
-47.1015E-3,-1.6500E+0,4.8745E-3,000.0000E-3
-46.2269E-3,-1.6400E+0,4.8018E-3,000.0000E-3
-45.3533E-3,-1.6300E+0,4.7243E-3,000.0000E-3
-44.4799E-3,-1.6200E+0,4.6517E-3,000.0000E-3
-43.6109E-3,-1.6100E+0,4.5746E-3,000.0000E-3
-42.7401E-3,-1.6000E+0,4.4969E-3,000.0000E-3
-41.8686E-3,-1.5900E+0,4.4220E-3,000.0000E-3
-40.9993E-3,-1.5800E+0,4.3449E-3,000.0000E-3
-40.1278E-3,-1.5700E+0,4.2713E-3,000.0000E-3
-39.2545E-3,-1.5600E+0,4.1925E-3,000.0000E-3
-38.3802E-3,-1.5500E+0,4.1192E-3,000.0000E-3
-37.5050E-3,-1.5400E+0,4.0501E-3,000.0000E-3
-36.6212E-3,-1.5300E+0,3.9735E-3,000.0000E-3
-35.7341E-3,-1.5200E+0,3.9042E-3,000.0000E-3
-34.8383E-3,-1.5100E+0,3.8364E-3,000.0000E-3
-33.9274E-3,-1.5000E+0,3.7660E-3,000.0000E-3
-32.9944E-3,-1.4900E+0,3.6987E-3,000.0000E-3
-32.0298E-3,-1.4800E+0,3.6362E-3,000.0000E-3
-31.0213E-3,-1.4700E+0,3.5733E-3,000.0000E-3
-29.9757E-3,-1.4600E+0,3.5177E-3,000.0000E-3
-28.9551E-3,-1.4500E+0,3.4623E-3,000.0000E-3
-28.0238E-3,-1.4400E+0,3.3969E-3,000.0000E-3
-27.1682E-3,-1.4300E+0,3.3211E-3,000.0000E-3
-26.3656E-3,-1.4200E+0,3.2480E-3,000.0000E-3
-25.6004E-3,-1.4100E+0,3.1772E-3,000.0000E-3
-24.8598E-3,-1.4000E+0,3.0960E-3,000.0000E-3
-24.1394E-3,-1.3900E+0,3.0155E-3,000.0000E-3
-23.4396E-3,-1.3800E+0,2.9401E-3,000.0000E-3
-22.7515E-3,-1.3700E+0,2.8584E-3,000.0000E-3
-22.0783E-3,-1.3600E+0,2.7803E-3,000.0000E-3
-21.4361E-3,-1.3500E+0,2.7033E-3,000.0000E-3
-20.7829E-3,-1.3400E+0,2.6234E-3,000.0000E-3
-20.1381E-3,-1.3300E+0,2.5417E-3,000.0000E-3
-19.5035E-3,-1.3200E+0,2.4631E-3,000.0000E-3
-18.8780E-3,-1.3100E+0,2.3850E-3,000.0000E-3
-18.2598E-3,-1.3000E+0,2.3044E-3,000.0000E-3
-17.6512E-3,-1.2900E+0,2.2273E-3,000.0000E-3
-17.0503E-3,-1.2800E+0,2.1482E-3,000.0000E-3
-16.4572E-3,-1.2700E+0,2.0673E-3,000.0000E-3
-15.8738E-3,-1.2600E+0,1.9927E-3,000.0000E-3
-15.2975E-3,-1.2500E+0,1.9181E-3,000.0000E-3
-14.7285E-3,-1.2400E+0,1.8399E-3,000.0000E-3
-14.1676E-3,-1.2300E+0,1.7632E-3,000.0000E-3
-13.6153E-3,-1.2200E+0,1.6903E-3,000.0000E-3
-13.0717E-3,-1.2100E+0,1.6174E-3,000.0000E-3
-12.5344E-3,-1.2000E+0,1.5414E-3,000.0000E-3
-12.0079E-3,-1.1900E+0,1.4693E-3,000.0000E-3
-11.4910E-3,-1.1800E+0,1.4007E-3,000.0000E-3
-10.9810E-3,-1.1700E+0,1.3301E-3,000.0000E-3
-10.4791E-3,-1.1600E+0,1.2603E-3,000.0000E-3
-9.9882E-3,-1.1500E+0,1.1924E-3,000.0000E-3
-9.5058E-3,-1.1400E+0,1.1248E-3,000.0000E-3
-9.0320E-3,-1.1300E+0,1.0569E-3,000.0000E-3
-8.5693E-3,-1.1200E+0,993.2696E-6,000.0000E-3
-8.1166E-3,-1.1100E+0,930.7574E-6,000.0000E-3
-7.6743E-3,-1.1000E+0,868.8134E-6,000.0000E-3
-7.2424E-3,-1.0900E+0,808.0243E-6,000.0000E-3
-6.8205E-3,-1.0800E+0,749.0986E-6,000.0000E-3
-6.4099E-3,-1.0700E+0,693.6716E-6,000.0000E-3
-6.0097E-3,-1.0600E+0,638.9492E-6,000.0000E-3
-5.6186E-3,-1.0500E+0,585.7452E-6,000.0000E-3
-5.2355E-3,-1.0400E+0,534.4870E-6,000.0000E-3
-4.8535E-3,-1.0300E+0,486.1450E-6,000.0000E-3
-4.2036E-3,-1.0200E+0,450.1967E-6,000.0000E-3
-3.8770E-3,-1.0100E+0,403.8098E-6,000.0000E-3
-3.5869E-3,-1.0000E+0,362.6280E-6,000.0000E-3
-3.3032E-3,-990.0000E-3,321.5716E-6,000.0000E-3
-3.0343E-3,-980.0000E-3,282.5247E-6,000.0000E-3
-2.7801E-3,-970.0000E-3,246.6706E-6,000.0000E-3
-2.5399E-3,-960.0000E-3,213.7384E-6,000.0000E-3
-2.3144E-3,-950.0000E-3,183.2988E-6,000.0000E-3
-2.1038E-3,-940.0000E-3,155.5620E-6,000.0000E-3
-1.9080E-3,-930.0000E-3,130.6771E-6,000.0000E-3
-1.7260E-3,-920.0000E-3,108.4261E-6,000.0000E-3
-1.5584E-3,-910.0000E-3,88.8916E-6,000.0000E-3
-1.4045E-3,-900.0000E-3,71.9252E-6,000.0000E-3
-1.2637E-3,-890.0000E-3,57.3738E-6,000.0000E-3
-1.1353E-3,-880.0000E-3,45.0814E-6,000.0000E-3
-1.0186E-3,-870.0000E-3,34.9332E-6,000.0000E-3
-913.4971E-6,-860.0000E-3,26.8112E-6,000.0000E-3
-817.9342E-6,-850.0000E-3,20.1353E-6,000.0000E-3
-731.5273E-6,-840.0000E-3,14.9001E-6,000.0000E-3
-653.3110E-6,-830.0000E-3,10.8919E-6,000.0000E-3
-582.6054E-6,-820.0000E-3,7.8786E-6,000.0000E-3
-518.5105E-6,-810.0000E-3,5.6477E-6,000.0000E-3
-460.4424E-6,-800.0000E-3,4.0185E-6,000.0000E-3
-407.8647E-6,-790.0000E-3,3.1871E-6,000.0000E-3
-359.9045E-6,-780.0000E-3,2.3732E-6,000.0000E-3
-316.5527E-6,-770.0000E-3,1.8301E-6,000.0000E-3
-277.2352E-6,-760.0000E-3,1.4844E-6,000.0000E-3
-241.5759E-6,-750.0000E-3,1.3006E-6,000.0000E-3
-209.3344E-6,-740.0000E-3,1.1964E-6,000.0000E-3
-180.3395E-6,-730.0000E-3,1.1013E-6,000.0000E-3
-154.3112E-6,-720.0000E-3,955.7507E-9,000.0000E-3
-131.0544E-6,-710.0000E-3,752.0711E-9,000.0000E-3
-110.3797E-6,-700.0000E-3,509.8144E-9,000.0000E-3
-92.1649E-6,-690.0000E-3,250.6953E-9,000.0000E-3
-76.2619E-6,-680.0000E-3,158.8600E-9,000.0000E-3
-62.4429E-6,-670.0000E-3,101.6255E-9,000.0000E-3
-50.9109E-6,-660.0000E-3,67.2782E-9,000.0000E-3
-40.7165E-6,-650.0000E-3,44.9329E-9,000.0000E-3
-32.1254E-6,-640.0000E-3,29.4644E-9,000.0000E-3
-25.0389E-6,-630.0000E-3,20.3243E-9,000.0000E-3
-19.1814E-6,-620.0000E-3,13.4087E-9,000.0000E-3
-14.5008E-6,-610.0000E-3,8.9581E-9,000.0000E-3
-10.7778E-6,-600.0000E-3,5.8636E-9,000.0000E-3
-7.8986E-6,-590.0000E-3,3.8297E-9,000.0000E-3
-5.7085E-6,-580.0000E-3,2.5007E-9,000.0000E-3
-4.0732E-6,-570.0000E-3,1.6210E-9,000.0000E-3
-3.2111E-6,-560.0000E-3,1.5244E-9,000.0000E-3
-2.4264E-6,-550.0000E-3,1.0855E-9,000.0000E-3
-1.8868E-6,-540.0000E-3,742.1711E-12,000.0000E-3
-1.5042E-6,-530.0000E-3,460.9910E-12,000.0000E-3
-1.1996E-6,-520.0000E-3,233.1453E-12,000.0000E-3
-931.5311E-9,-510.0000E-3,75.6503E-12,000.0000E-3
-687.6380E-9,-500.0000E-3,5.8168E-12,000.0000E-3
-481.5178E-9,-490.0000E-3,-12.6072E-12,000.0000E-3
-285.5341E-9,-480.0000E-3,-8.4888E-12,000.0000E-3
-189.5331E-9,-470.0000E-3,-5.6228E-12,000.0000E-3
-126.7734E-9,-460.0000E-3,-2.0805E-12,000.0000E-3
-84.8316E-9,-450.0000E-3,-923.1885E-15,000.0000E-3
-56.7037E-9,-440.0000E-3,-309.5473E-15,000.0000E-3
-37.7314E-9,-430.0000E-3,108.6227E-15,000.0000E-3
-25.5235E-9,-420.0000E-3,228.4467E-15,000.0000E-3
-17.2094E-9,-410.0000E-3,231.5958E-15,000.0000E-3
-11.6143E-9,-400.0000E-3,224.0533E-15,000.0000E-3
-7.8699E-9,-390.0000E-3,203.1055E-15,000.0000E-3
-5.3036E-9,-380.0000E-3,172.5922E-15,000.0000E-3
-3.6006E-9,-370.0000E-3,139.5311E-15,000.0000E-3
-2.4355E-9,-360.0000E-3,115.1056E-15,000.0000E-3
-1.6476E-9,-350.0000E-3,98.2664E-15,000.0000E-3
-1.1167E-9,-340.0000E-3,73.5297E-15,000.0000E-3
-756.5525E-12,-330.0000E-3,58.0943E-15,000.0000E-3
-511.5630E-12,-320.0000E-3,46.6892E-15,000.0000E-3
-350.1359E-12,-310.0000E-3,40.3914E-15,000.0000E-3
-237.7194E-12,-300.0000E-3,27.9638E-15,000.0000E-3
-161.5833E-12,-290.0000E-3,24.7814E-15,000.0000E-3
-109.7311E-12,-280.0000E-3,14.3462E-15,000.0000E-3
-74.4551E-12,-270.0000E-3,14.0763E-15,000.0000E-3
-50.9080E-12,-260.0000E-3,13.2031E-15,000.0000E-3
-34.5091E-12,-250.0000E-3,9.3948E-15,000.0000E-3
-23.6056E-12,-240.0000E-3,4.9294E-15,000.0000E-3
-16.1642E-12,-230.0000E-3,5.3549E-15,000.0000E-3
-11.0717E-12,-220.0000E-3,-64.3978E-15,000.0000E-3
-7.6408E-12,-210.0000E-3,2.9817E-15,000.0000E-3
-5.2459E-12,-200.0000E-3,500.0107E-18,000.0000E-3
-3.5986E-12,-190.0000E-3,3.2975E-15,000.0000E-3
-2.5058E-12,-180.0000E-3,-527.7847E-18,000.0000E-3
-1.7356E-12,-170.0000E-3,290.0281E-18,000.0000E-3
-1.2116E-12,-160.0000E-3,-1.0141E-15,000.0000E-3
-850.8912E-15,-150.0000E-3,-1.4240E-15,000.0000E-3
-595.4205E-15,-140.0000E-3,-1.1109E-15,000.0000E-3
-419.3670E-15,-130.0000E-3,445.7788E-18,000.0000E-3
-295.2216E-15,-120.0000E-3,560.4343E-18,000.0000E-3
-212.4065E-15,-110.0000E-3,-3.1413E-15,000.0000E-3
-151.2122E-15,-100.0000E-3,-1.4290E-15,000.0000E-3
-107.8871E-15,-90.0000E-3,-1.2010E-15,000.0000E-3
-75.2847E-15,-80.0000E-3,-267.7224E-18,000.0000E-3
-59.8462E-15,-70.0000E-3,-5.9367E-15,000.0000E-3
-33.4024E-15,-60.0000E-3,-1.5589E-15,000.0000E-3
-26.9350E-15,-50.0000E-3,-4.6990E-15,000.0000E-3
-22.6870E-15,-40.0000E-3,-7.4847E-15,000.0000E-3
-4.6777E-15,-30.0000E-3,-3.8068E-15,000.0000E-3
-4.3575E-15,-20.0000E-3,-4.2742E-15,000.0000E-3
3.4645E-15,-10.0000E-3,-269.8463E-18,000.0000E-3
5.3805E-15,000.0000E-3,-3.5040E-15,000.0000E-3
9.5537E-15,10.0000E-3,-6.1657E-15,000.0000E-3
7.2523E-15,20.0000E-3,-4.0163E-15,000.0000E-3
14.9044E-15,30.0000E-3,-1.3645E-15,000.0000E-3
15.9348E-15,40.0000E-3,-2.9093E-15,000.0000E-3
15.5177E-15,50.0000E-3,-3.6470E-15,000.0000E-3
21.6770E-15,60.0000E-3,-1.5886E-15,000.0000E-3
23.4550E-15,70.0000E-3,1.2389E-15,000.0000E-3
25.0870E-15,80.0000E-3,-2.2867E-15,000.0000E-3
24.6621E-15,90.0000E-3,-3.7748E-15,000.0000E-3
27.3900E-15,100.0000E-3,-996.2357E-18,000.0000E-3
27.7514E-15,110.0000E-3,-3.2680E-15,000.0000E-3
30.2225E-15,120.0000E-3,-1.4287E-15,000.0000E-3
33.6987E-15,130.0000E-3,-1.1519E-15,000.0000E-3
37.6674E-15,140.0000E-3,737.0324E-18,000.0000E-3
43.5107E-15,150.0000E-3,-3.3606E-15,000.0000E-3
40.7593E-15,160.0000E-3,-1.3099E-15,000.0000E-3
45.1285E-15,170.0000E-3,-2.6118E-15,000.0000E-3
38.9674E-15,180.0000E-3,-3.5408E-15,000.0000E-3
47.1793E-15,190.0000E-3,-1.9605E-15,000.0000E-3
50.5590E-15,200.0000E-3,-632.3741E-18,000.0000E-3
50.1880E-15,210.0000E-3,-1.3847E-15,000.0000E-3
53.9907E-15,220.0000E-3,-2.6832E-15,000.0000E-3
56.5069E-15,230.0000E-3,-1.1089E-15,000.0000E-3
57.4843E-15,240.0000E-3,-978.7278E-18,000.0000E-3
55.1960E-15,250.0000E-3,-2.3331E-15,000.0000E-3
59.1530E-15,260.0000E-3,-4.5276E-15,000.0000E-3
62.9157E-15,270.0000E-3,-343.9024E-18,000.0000E-3
62.7248E-15,280.0000E-3,403.2439E-18,000.0000E-3
64.2588E-15,290.0000E-3,-132.2680E-18,000.0000E-3
70.3284E-15,300.0000E-3,-4.1128E-15,000.0000E-3
69.5978E-15,310.0000E-3,-2.6943E-15,000.0000E-3
66.5813E-15,320.0000E-3,-1.3600E-15,000.0000E-3
72.3019E-15,330.0000E-3,299.4009E-18,000.0000E-3
69.7918E-15,340.0000E-3,-1.3760E-15,000.0000E-3
72.4769E-15,350.0000E-3,-2.0351E-15,000.0000E-3
72.2818E-15,360.0000E-3,1.6689E-15,000.0000E-3
73.2135E-15,370.0000E-3,1.5785E-15,000.0000E-3
74.3293E-15,380.0000E-3,-7.3987E-15,000.0000E-3
73.9553E-15,390.0000E-3,-5.6362E-15,000.0000E-3
81.4994E-15,400.0000E-3,413.6406E-18,000.0000E-3
74.8645E-15,410.0000E-3,-3.6997E-15,000.0000E-3
77.5842E-15,420.0000E-3,-5.0040E-15,000.0000E-3
79.1966E-15,430.0000E-3,-1.1690E-15,000.0000E-3
78.8587E-15,440.0000E-3,-209.4105E-18,000.0000E-3
77.2517E-15,450.0000E-3,-2.0941E-15,000.0000E-3
79.2910E-15,460.0000E-3,-4.3714E-15,000.0000E-3
75.9715E-15,470.0000E-3,-2.8120E-15,000.0000E-3
79.4970E-15,480.0000E-3,5.2438E-18,000.0000E-3
81.3992E-15,490.0000E-3,-3.2718E-15,000.0000E-3
81.4516E-15,500.0000E-3,-3.0292E-15,000.0000E-3
77.5132E-15,510.0000E-3,-1.3319E-15,000.0000E-3
77.3031E-15,520.0000E-3,-1.2436E-15,000.0000E-3
82.6175E-15,530.0000E-3,-4.6237E-15,000.0000E-3
81.1662E-15,540.0000E-3,-4.7279E-15,000.0000E-3
79.3079E-15,550.0000E-3,-2.6662E-15,000.0000E-3
77.7481E-15,560.0000E-3,-308.8887E-18,000.0000E-3
80.5126E-15,570.0000E-3,-2.2734E-15,000.0000E-3
82.9618E-15,580.0000E-3,-4.3645E-15,000.0000E-3
81.5177E-15,590.0000E-3,-3.1588E-15,000.0000E-3
81.4468E-15,600.0000E-3,-644.0035E-18,000.0000E-3
84.1055E-15,610.0000E-3,-1.6517E-15,000.0000E-3
82.1858E-15,620.0000E-3,-3.6605E-15,000.0000E-3
85.0171E-15,630.0000E-3,-3.5780E-15,000.0000E-3
86.4933E-15,640.0000E-3,-1.3419E-15,000.0000E-3
84.8544E-15,650.0000E-3,932.1282E-18,000.0000E-3
81.6765E-15,660.0000E-3,-2.7198E-15,000.0000E-3
83.7904E-15,670.0000E-3,-4.3702E-15,000.0000E-3
78.0592E-15,680.0000E-3,-6.7080E-15,000.0000E-3
83.5237E-15,690.0000E-3,-1.9881E-15,000.0000E-3
86.2501E-15,700.0000E-3,-4.3737E-15,000.0000E-3
85.1172E-15,710.0000E-3,-4.2543E-15,000.0000E-3
82.1094E-15,720.0000E-3,-5.1190E-15,000.0000E-3
85.6202E-15,730.0000E-3,-3.5943E-15,000.0000E-3
87.8474E-15,740.0000E-3,-1.9573E-15,000.0000E-3
83.5817E-15,750.0000E-3,-4.0091E-15,000.0000E-3
85.4353E-15,760.0000E-3,-6.0232E-15,000.0000E-3
86.0582E-15,770.0000E-3,-5.6259E-15,000.0000E-3
83.4341E-15,780.0000E-3,-3.7758E-15,000.0000E-3
86.7326E-15,790.0000E-3,-3.3938E-15,000.0000E-3
86.1451E-15,800.0000E-3,-7.3669E-15,000.0000E-3
90.7858E-15,810.0000E-3,-6.9430E-15,000.0000E-3
89.6800E-15,820.0000E-3,-5.4876E-15,000.0000E-3
87.7789E-15,830.0000E-3,-7.5304E-15,000.0000E-3
88.1168E-15,840.0000E-3,-6.7918E-15,000.0000E-3
85.6012E-15,850.0000E-3,-10.5292E-15,000.0000E-3
88.7485E-15,860.0000E-3,-7.9295E-15,000.0000E-3
89.9857E-15,870.0000E-3,-7.7775E-15,000.0000E-3
93.6090E-15,880.0000E-3,-8.1861E-15,000.0000E-3
91.8919E-15,890.0000E-3,-10.7543E-15,000.0000E-3
92.9373E-15,900.0000E-3,-12.8539E-15,000.0000E-3
92.6081E-15,910.0000E-3,-12.5005E-15,000.0000E-3
93.9135E-15,920.0000E-3,-11.0039E-15,000.0000E-3
95.0807E-15,930.0000E-3,-14.9132E-15,000.0000E-3
97.4793E-15,940.0000E-3,-17.2718E-15,000.0000E-3
97.7280E-15,950.0000E-3,-16.2460E-15,000.0000E-3
97.7361E-15,960.0000E-3,-16.7263E-15,000.0000E-3
106.0941E-15,970.0000E-3,-19.9468E-15,000.0000E-3
106.9257E-15,980.0000E-3,-23.4614E-15,000.0000E-3
105.8671E-15,990.0000E-3,-23.7396E-15,000.0000E-3
108.3653E-15,1.0000E+0,-24.3386E-15,000.0000E-3
107.9850E-15,1.0100E+0,-28.3406E-15,000.0000E-3
114.0733E-15,1.0200E+0,-30.3558E-15,000.0000E-3
115.0477E-15,1.0300E+0,-32.4492E-15,000.0000E-3
118.1394E-15,1.0400E+0,-32.6875E-15,000.0000E-3
120.6703E-15,1.0500E+0,-38.3269E-15,000.0000E-3
126.0434E-15,1.0600E+0,-42.5447E-15,000.0000E-3
123.4890E-15,1.0700E+0,-45.4163E-15,000.0000E-3
132.8274E-15,1.0800E+0,-47.3331E-15,000.0000E-3
136.8105E-15,1.0900E+0,-52.1807E-15,000.0000E-3
139.1514E-15,1.1000E+0,-56.4071E-15,000.0000E-3
147.0031E-15,1.1100E+0,-60.4104E-15,000.0000E-3
147.9661E-15,1.1200E+0,-65.5885E-15,000.0000E-3
155.8349E-15,1.1300E+0,-71.1359E-15,000.0000E-3
162.0573E-15,1.1400E+0,-75.3861E-15,000.0000E-3
164.3195E-15,1.1500E+0,-82.5827E-15,000.0000E-3
169.3976E-15,1.1600E+0,-90.9909E-15,000.0000E-3
181.1338E-15,1.1700E+0,-96.0137E-15,000.0000E-3
186.4238E-15,1.1800E+0,-102.6115E-15,000.0000E-3
196.8131E-15,1.1900E+0,-111.8504E-15,000.0000E-3
203.6897E-15,1.2000E+0,-122.3304E-15,000.0000E-3
212.9106E-15,1.2100E+0,-130.7490E-15,000.0000E-3
223.3774E-15,1.2200E+0,-139.8383E-15,000.0000E-3
234.1364E-15,1.2300E+0,-150.9456E-15,000.0000E-3
242.3552E-15,1.2400E+0,-164.3236E-15,000.0000E-3
258.4139E-15,1.2500E+0,-175.7971E-15,000.0000E-3
272.8617E-15,1.2600E+0,-189.2496E-15,000.0000E-3
285.2494E-15,1.2700E+0,-203.2220E-15,000.0000E-3
302.3135E-15,1.2800E+0,-218.3585E-15,000.0000E-3
319.0301E-15,1.2900E+0,-234.0205E-15,000.0000E-3
335.6841E-15,1.3000E+0,-252.3343E-15,000.0000E-3
353.2573E-15,1.3100E+0,-270.0162E-15,000.0000E-3
373.7243E-15,1.3200E+0,-289.4995E-15,000.0000E-3
394.3737E-15,1.3300E+0,-309.4746E-15,000.0000E-3
420.8647E-15,1.3400E+0,-333.4184E-15,000.0000E-3
443.6254E-15,1.3500E+0,-356.6167E-15,000.0000E-3
466.6284E-15,1.3600E+0,-381.9696E-15,000.0000E-3
493.6999E-15,1.3700E+0,-408.5450E-15,000.0000E-3
524.1247E-15,1.3800E+0,-437.5435E-15,000.0000E-3
553.9656E-15,1.3900E+0,-466.2860E-15,000.0000E-3
588.5066E-15,1.4000E+0,-499.2561E-15,000.0000E-3
619.9795E-15,1.4100E+0,-536.0667E-15,000.0000E-3
654.1790E-15,1.4200E+0,-571.8131E-15,000.0000E-3
695.7151E-15,1.4300E+0,-608.2928E-15,000.0000E-3
738.9082E-15,1.4400E+0,-650.8340E-15,000.0000E-3
780.4597E-15,1.4500E+0,-693.6839E-15,000.0000E-3
825.0897E-15,1.4600E+0,-741.2731E-15,000.0000E-3
873.2809E-15,1.4700E+0,-791.7732E-15,000.0000E-3
924.9462E-15,1.4800E+0,-843.7269E-15,000.0000E-3
985.3065E-15,1.4900E+0,-897.5719E-15,000.0000E-3
1.0412E-12,1.5000E+0,-956.0748E-15,000.0000E-3
1.1043E-12,1.5100E+0,-1.0165E-12,000.0000E-3
1.1709E-12,1.5200E+0,-1.0833E-12,000.0000E-3
1.2370E-12,1.5300E+0,-1.1545E-12,000.0000E-3
1.3149E-12,1.5400E+0,-1.2264E-12,000.0000E-3
1.3919E-12,1.5500E+0,-1.3044E-12,000.0000E-3
1.4710E-12,1.5600E+0,-1.3874E-12,000.0000E-3
1.5580E-12,1.5700E+0,-1.4719E-12,000.0000E-3
1.6493E-12,1.5800E+0,-1.5643E-12,000.0000E-3
